"node"	"propform"	"tildevalue"	"%"	"actantslist"
"ls:fr:node:26467"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26468"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26469"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26470"	"$1 est ~ à l’endroit $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26471"	"~ pratiqué par les $1"	""	"100"	"($1=X)"
"ls:fr:node:26473"	"~ utilisé par $1 pour transporter $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26474"	"~ qui sert à $1"	""	"100"	"($1=X)"
"ls:fr:node:26475"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26476"	"$1 ~ $2"	"bat"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26477"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26478"	"$1 ~ (de $2) avec $3"	" bavarde "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26479"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26480"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26481"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26482"	"$1, ~ de $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26483"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26484"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26485"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26487"	"$1 est ~"	""	"100"	"($1=X)"
"ls:fr:node:26488"	"~"	""	"100"	"()"
"ls:fr:node:26489"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26491"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"ls:fr:node:26492"	"~ utilisée par $1"	""	"100"	"($1=X)"
"ls:fr:node:26493"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26496"	"~, $1"	""	"100"	"($1=X)"
"ls:fr:node:26497"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26498"	"~ destinée à être consommée par $1"	""	"100"	"($1=X)"
"ls:fr:node:26499"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"ls:fr:node:26502"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"ls:fr:node:26503"	"! ~ de $1 à $2 sur $3"	""	"60"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26504"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26505"	"~ racontée par $1 à $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26506"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26507"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26508"	"~ cultivé par $1"	""	"100"	"($1=X)"
"ls:fr:node:26509"	"$1 ~ $2 avec $3"	"blesse"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26510"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26511"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26512"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26513"	"$1 ~ $2 avec $3"	" bloque "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26515"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26516"	"$1 ~ $2"	"boit"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26517"	"~"	""	"100"	"()"
"ls:fr:node:26518"	"~ destinée à être consommée par $1"	""	"100"	"($1=X)"
"ls:fr:node:26519"	"~ de $2 qui sert à $1"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26520"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26521"	"$1 ~ $2 avec $3"	"bombarde"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26523"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26524"	"Le locuteur dit : « ~ »"	""	"100"	"()"
"ls:fr:node:26525"	"~ fait par $2 destiné à être consommé par $1"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26526"	"~ de $1 du fait de $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26527"	"$1, qui est un ~"	""	"100"	"($1=X)"
"ls:fr:node:26528"	"Le locuteur dit : « ~ (à $2) »"	""	"100"	"($2=Y)"
"ls:fr:node:26529"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26530"	"Le locuteur dit : « ~ »"	""	"100"	"()"
"ls:fr:node:26531"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26532"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26533"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26534"	"~ qui sert à $1"	""	"100"	"($1=X)"
"ls:fr:node:26535"	"~ de $1"	""	"60"	"($1=X)"
"ls:fr:node:26536"	"! ~ de $1 destinée à être consommée par $2"	""	"90"	"($1=X,$2=Y)"
"ls:fr:node:26538"	"$1 ~ $2 avec $3"	"bouche "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26539"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26540"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26541"	"~"	""	"100"	"()"
"ls:fr:node:26542"	"$1 ~"	"bouge"	"100"	"($1=X)"
